iter	Passed	Remaining
1592	70253	42601
1593	70301	42560
1594	70341	42513
1595	70384	42469
1596	70428	42424
1597	70469	42378
1598	70512	42333
1599	70553	42288
1600	70598	42244
1601	70639	42198
1602	70680	42152
1603	70718	42105
1604	70762	42060
1605	70803	42014
1606	70846	41970
1607	70891	41926
1608	70933	41881
1609	70978	41837
1610	71021	41792
1611	71066	41749
1612	71110	41705
1613	71154	41661
1614	71198	41617
1615	71246	41575
1616	71288	41529
1617	71326	41482
1618	71370	41438
1619	71411	41392
1620	71454	41347
1621	71502	41305
1622	71548	41262
1623	71586	41215
1624	71627	41169
1625	71667	41122
1626	71712	41079
1627	71753	41033
1628	71793	40986
1629	71835	40942
1630	71879	40897
1631	71919	40851
1632	71966	40808
1633	72009	40764
1634	72053	40720
1635	72100	40677
1636	72137	40629
1637	72184	40587
1638	72229	40543
1639	72271	40498
1640	72311	40452
1641	72353	40406
1642	72398	40363
1643	72437	40316
1644	72477	40269
1645	72523	40227
1646	72568	40183
1647	72609	40137
1648	72653	40093
1649	72696	40049
1650	72739	40004
1651	72784	39961
1652	72828	39916
1653	72873	39873
1654	72917	39828
1655	72959	39784
1656	73006	39741
1657	73046	39695
1658	73091	39651
1659	73134	39607
1660	73177	39562
1661	73216	39515
1662	73255	39468
1663	73298	39424
1664	73336	39377
1665	73384	39334
1666	73428	39290
1667	73472	39246
1668	73518	39204
1669	73558	39158
1670	73598	39111
1671	73637	39064
1672	73682	39021
1673	73722	38975
1674	73761	38928
1675	73805	38884
1676	73846	38838
1677	73885	38791
1678	73926	38746
1679	73968	38701
1680	74008	38655
1681	74052	38611
1682	74093	38565
1683	74131	38518
1684	74170	38471
1685	74210	38425
1686	74250	38379
1687	74288	38332
1688	74328	38286
1689	74365	38238
1690	74408	38194
1691	74448	38148
1692	74487	38101
1693	74531	38057
1694	74568	38009
1695	74605	37962
1696	74652	37920
1697	74695	37875
1698	74734	37829
1699	74778	37785
